Month,Site,Replicate,Taxa, wt% N,wt% C,Atomic C:N,d15N permil AIR,d13C permil VPDB
August,FRY,1,Acroneuria,10.81,46.96,5.07,5.54,-24.59
August,FRY,1,Hydrochus,9.11,51.59,6.6,2.12,-27.32
August,FRY,1,Leuctra,9.31,49.67,6.23,3.19,-26.79
August,FRY,1,Nigronia,9.38,40.14,4.99,4.13,-24.8
August,FRY,1,Pteronarcys,8.7,49.49,6.64,-0.18,-28.27
August,FRY,2,Leuctra,9.6,47.97,5.83,3.78,-26.67
August,FRY,2,Pteronarcys,11.01,46.79,4.96,1.4,-26.42
August,FRY,2,Stenonema,4.08,36.05,10.3,0.65,-31.64
August,FRY,2,Acroneuria,13.4,47.27,4.11,6.09,-23.9
August,FRY,3,Psephenus,10.1,47.2,5.45,-0.34,-30.94
August,FRY,3,Stenonema,5.02,32.25,7.5,2.56,-28.31
August,FRY,3,Acroneuria,11.55,49.68,5.02,4.89,-25.43
August,RIC,1,Sciaridae,9.82,51.42,6.11,4.48,-27.37
August,RIC,2,Acroneuria,11.53,45.15,4.57,9.56,-22.38
August,RIC,2,Dolophilodes,10.34,43.06,4.86,7.78,-24.92
August,RIC,2,Leuctra,6.86,48.58,8.27,7.33,-25.5
August,RIC,2,Hydropsyche,7.67,37.29,5.67,6.33,-24.53
August,RIC,3,Atherix,10.27,46.51,5.28,9.13,-23.89
August,RIC,3,Cheumatopsyche,8.04,38.3,5.56,5.94,-24.83
August,RIC,3,Hydropsyche,4.8,26.82,6.52,5.25,-25.36
